Rank,Location,Raw 1,Raw 2,Percent
1,Utah,2065808.00,3051217.00,67.70%
2,Idaho,444614.00,1683140.00,26.42%
3,Wyoming,67505.00,585501.00,11.53%
4,Nevada,182617.00,2940058.00,6.21%
5,Arizona,423056.00,6931071.00,6.10%
6,Hawaii,73927.00,1428557.00,5.17%
7,Montana,50145.00,1042520.00,4.81%
8,Alaska,33810.00,741894.00,4.56%
9,Washington,287433.00,7288000.00,3.94%
10,Oregon,153936.00,4093465.00,3.76%
11,New Mexico,69617.00,2081015.00,3.35%
12,Colorado,151884.00,5540545.00,2.74%
13,California,771464.00,39250017.00,1.97%
14,North Dakota,11256.00,757952.00,1.49%
15,Nebraska,24765.00,1907116.00,1.30%
16,Kansas,37632.00,2907289.00,1.29%
17,Texas,348130.00,27862596.00,1.25%
18,Oklahoma,47349.00,3923561.00,1.21%
19,South Dakota,10450.00,865454.00,1.21%
20,Missouri,70389.00,6093000.00,1.16%
21,Virginia,95198.00,8411808.00,1.13%
22,Arkansas,30694.00,2988248.00,1.03%
23,West Virginia,16981.00,1831102.00,0.93%
24,Iowa,28157.00,3134693.00,0.90%
25,North Carolina,84902.00,10146788.00,0.84%
26,Georgia,84415.00,10310371.00,0.82%
27,Maine,10978.00,1331479.00,0.82%
28,South Carolina,40216.00,4961119.00,0.81%
29,Kentucky,34954.00,4436974.00,0.79%
30,Alabama,37237.00,4863300.00,0.77%
31,Florida,154921.00,20612439.00,0.75%
32,Tennessee,50030.00,6651194.00,0.75%
33,Mississippi,21849.00,2988726.00,0.73%
34,Vermont,4548.00,624594.00,0.73%
35,Maryland,43534.00,6016447.00,0.72%
36,Indiana,44669.00,6633053.00,0.67%
37,New Hampshire,8668.00,1334795.00,0.65%
38,Louisiana,29934.00,4681666.00,0.64%
39,Minnesota,32719.00,5519952.00,0.59%
40,Delaware,5400.00,952065.00,0.57%
41,Ohio,61490.00,11614373.00,0.53%
42,Wisconsin,26392.00,5778708.00,0.46%
43,Illinois,57109.00,12801539.00,0.45%
44,Michigan,44662.00,9928300.00,0.45%
45,Connecticut,15834.00,3576452.00,0.44%
46,New York,81741.00,19745289.00,0.41%
47,District of Columbia,2758.00,681170.00,0.40%
48,Massachusetts,27204.00,6811779.00,0.40%
49,Pennsylvania,51666.00,12784227.00,0.40%
50,Rhode Island,4070.00,1056426.00,0.39%
51,New Jersey,33478.00,8944469.00,0.37%
